n,power,test,eps,eff
277,1,Public,0.1,3
278,1,Public,0.1,3
279,1,Public,0.1,3
280,1,Public,0.1,3
281,1,Public,0.1,3
282,1,Public,0.1,3
283,1,Public,0.1,3
284,1,Public,0.1,3
285,1,Public,0.1,3
286,1,Public,0.1,3
287,1,Public,0.1,3
288,1,Public,0.1,3
289,1,Public,0.1,3
290,1,Public,0.1,3
291,1,Public,0.1,3
292,1,Public,0.1,3
293,1,Public,0.1,3
294,1,Public,0.1,3
295,1,Public,0.1,3
296,1,Public,0.1,3
297,1,Public,0.1,3
298,1,Public,0.1,3
299,1,Public,0.1,3
300,1,Public,0.1,3
301,1,Public,0.1,3
302,1,Public,0.1,3
303,1,Public,0.1,3
304,1,Public,0.1,3
305,1,Public,0.1,3
306,1,Public,0.1,3
307,1,Public,0.1,3
308,1,Public,0.1,3
309,1,Public,0.1,3
310,1,Public,0.1,3
311,1,Public,0.1,3
312,1,Public,0.1,3
313,1,Public,0.1,3
314,1,Public,0.1,3
315,1,Public,0.1,3
316,1,Public,0.1,3
317,1,Public,0.1,3
318,1,Public,0.1,3
319,1,Public,0.1,3
320,1,Public,0.1,3
321,1,Public,0.1,3
322,1,Public,0.1,3
323,1,Public,0.1,3
324,1,Public,0.1,3
325,1,Public,0.1,3
326,1,Public,0.1,3
327,1,Public,0.1,3
328,1,Public,0.1,3
329,1,Public,0.1,3
330,1,Public,0.1,3
331,1,Public,0.1,3
332,1,Public,0.1,3
333,1,Public,0.1,3
334,1,Public,0.1,3
335,1,Public,0.1,3
336,1,Public,0.1,3
337,1,Public,0.1,3
338,1,Public,0.1,3
339,1,Public,0.1,3
340,1,Public,0.1,3
341,1,Public,0.1,3
342,1,Public,0.1,3
343,1,Public,0.1,3
344,1,Public,0.1,3
345,1,Public,0.1,3
346,1,Public,0.1,3
347,1,Public,0.1,3
348,1,Public,0.1,3
349,1,Public,0.1,3
350,1,Public,0.1,3
351,1,Public,0.1,3
352,1,Public,0.1,3
353,1,Public,0.1,3
354,1,Public,0.1,3
355,1,Public,0.1,3
356,1,Public,0.1,3
357,1,Public,0.1,3
358,1,Public,0.1,3
359,1,Public,0.1,3
360,1,Public,0.1,3
361,1,Public,0.1,3
362,1,Public,0.1,3
363,1,Public,0.1,3
364,1,Public,0.1,3
365,1,Public,0.1,3
366,1,Public,0.1,3
367,1,Public,0.1,3
368,1,Public,0.1,3
369,1,Public,0.1,3
370,1,Public,0.1,3
371,1,Public,0.1,3
372,1,Public,0.1,3
373,1,Public,0.1,3
374,1,Public,0.1,3
375,1,Public,0.1,3
376,1,Public,0.1,3
377,1,Public,0.1,3
378,1,Public,0.1,3
379,1,Public,0.1,3
380,1,Public,0.1,3
381,1,Public,0.1,3
382,1,Public,0.1,3
383,1,Public,0.1,3
384,1,Public,0.1,3
385,1,Public,0.1,3
386,1,Public,0.1,3
387,1,Public,0.1,3
388,1,Public,0.1,3
389,1,Public,0.1,3
390,1,Public,0.1,3
391,1,Public,0.1,3
392,1,Public,0.1,3
393,1,Public,0.1,3
394,1,Public,0.1,3
395,1,Public,0.1,3
396,1,Public,0.1,3
397,1,Public,0.1,3
398,1,Public,0.1,3
399,1,Public,0.1,3
400,1,Public,0.1,3
401,1,Public,0.1,3
402,1,Public,0.1,3
403,1,Public,0.1,3
404,1,Public,0.1,3
405,1,Public,0.1,3
406,1,Public,0.1,3
407,1,Public,0.1,3
408,1,Public,0.1,3
409,1,Public,0.1,3
410,1,Public,0.1,3
411,1,Public,0.1,3
412,1,Public,0.1,3
413,1,Public,0.1,3
414,1,Public,0.1,3
415,1,Public,0.1,3
416,1,Public,0.1,3
417,1,Public,0.1,3
418,1,Public,0.1,3
419,1,Public,0.1,3
420,1,Public,0.1,3
421,1,Public,0.1,3
422,1,Public,0.1,3
423,1,Public,0.1,3
424,1,Public,0.1,3
425,1,Public,0.1,3
426,1,Public,0.1,3
427,1,Public,0.1,3
428,1,Public,0.1,3
429,1,Public,0.1,3
430,1,Public,0.1,3
431,1,Public,0.1,3
432,1,Public,0.1,3
433,1,Public,0.1,3
434,1,Public,0.1,3
435,1,Public,0.1,3
436,1,Public,0.1,3
437,1,Public,0.1,3
438,1,Public,0.1,3
439,1,Public,0.1,3
440,1,Public,0.1,3
441,1,Public,0.1,3
442,1,Public,0.1,3
443,1,Public,0.1,3
444,1,Public,0.1,3
