"n","power","test","eps","eff"
78,0.936786573120452,"Public",1,0.4
79,0.93957404889219,"Public",1,0.4
80,0.942247300018094,"Public",1,0.4
81,0.94481048489241,"Public",1,0.4
82,0.947267642867347,"Public",1,0.4
83,0.949622695505375,"Public",1,0.4
84,0.951879447993426,"Public",1,0.4
85,0.954041590702529,"Public",1,0.4
86,0.956112700876512,"Public",1,0.4
87,0.958096244434411,"Public",1,0.4
88,0.959995577872277,"Public",1,0.4
89,0.961813950251952,"Public",1,0.4
90,0.963554505263852,"Public",1,0.4
91,0.965220283352786,"Public",1,0.4
92,0.966814223896015,"Public",1,0.4
93,0.968339167424364,"Public",1,0.4
94,0.969797857876968,"Public",1,0.4
95,0.971192944880829,"Public",1,0.4
96,0.97252698604917,"Public",1,0.4
97,0.973802449289808,"Public",1,0.4
98,0.975021715118294,"Public",1,0.4
99,0.97618707896951,"Public",1,0.4
100,0.977300753501914,"Public",1,0.4
101,0.978364870891382,"Public",1,0.4
102,0.97938148510708,"Public",1,0.4
103,0.980352574169257,"Public",1,0.4
104,0.981280042381704,"Public",1,0.4
105,0.982165722538345,"Public",1,0.4
106,0.983011378099917,"Public",1,0.4
107,0.983818705338031,"Public",1,0.4
108,0.984589335445325,"Public",1,0.4
109,0.985324836608567,"Public",1,0.4
110,0.986026716044401,"Public",1,0.4
111,0.986696421994662,"Public",1,0.4
112,0.987335345681826,"Public",1,0.4
113,0.98794482322174,"Public",1,0.4
114,0.988526137494363,"Public",1,0.4
115,0.989080519972484,"Public",1,0.4
116,0.989609152502992,"Public",1,0.4
117,0.99011316904806,"Public",1,0.4
118,0.99059365738011,"Public",1,0.4
119,0.991051660733128,"Public",1,0.4
120,0.99148817940899,"Public",1,0.4
121,0.991904172340799,"Public",1,0.4
122,0.992300558610842,"Public",1,0.4
123,0.992678218926581,"Public",1,0.4
124,0.993037997052499,"Public",1,0.4
125,0.993380701199477,"Public",1,0.4
126,0.993707105372138,"Public",1,0.4
127,0.994017950674999,"Public",1,0.4
128,0.994313946576508,"Public",1,0.4
129,0.994595772134731,"Public",1,0.4
130,0.994864077181685,"Public",1,0.4
131,0.995119483470122,"Public",1,0.4
132,0.995362585781615,"Public",1,0.4
133,0.995593952998439,"Public",1,0.4
134,0.995814129137423,"Public",1,0.4
135,0.996023634349774,"Public",1,0.4
136,0.99622296588576,"Public",1,0.4
137,0.996412599025067,"Public",1,0.4
138,0.996592987974755,"Public",1,0.4
139,0.996764566734638,"Public",1,0.4
140,0.996927749931723,"Public",1,0.4
141,0.997082933623802,"Public",1,0.4
142,0.997230496074047,"Public",1,0.4
143,0.997370798496253,"Public",1,0.4
144,0.997504185772393,"Public",1,0.4
145,0.997630987143583,"Public",1,0.4
146,0.997751516873853,"Public",1,0.4
147,0.9978660748894,"Public",1,0.4
148,0.997974947392799,"Public",1,0.4
149,0.998078407452943,"Public",1,0.4
150,0.998176715573044,"Public",1,0.4
151,0.998270120234931,"Public",1,0.4
152,0.998358858422621,"Public",1,0.4
153,0.998443156125227,"Public",1,0.4
154,0.998523228818697,"Public",1,0.4
155,0.998599281928999,"Public",1,0.4
156,0.99867151127648,"Public",1,0.4
